Profession,Year,No. of Emigrants
Electrician,2004,6093
Electrician,2005,4983
Electrician,2006,6422
Electrician,2007,10062
Electrician,2008,15085
Electrician,2009,14146
Electrician,2010,12722
Electrician,2011,17326
Electrician,2012,24166
Electrician,2013,26767
Electrician,2014,25844
Electrician,2015,34653
Electrician,2016,29448
Electrician,2017,17194
Electrician,2018,12076
Electrician,2019,15167
Electrician,2020,4811
Electrician,2021,7103
Electrician,2022,20322
Electrician,2023,3949
Engineer,1981,991
Engineer,1982,890
Engineer,1983,777
Engineer,1984,606
Engineer,1985,532
Engineer,1986,375
Engineer,1987,429
Engineer,1988,528
Engineer,1989,622
Engineer,1990,737
Engineer,1991,924
Engineer,1992,1240
Engineer,1993,1001
Engineer,1994,718
Engineer,1995,758
Engineer,1996,774
Engineer,1997,965
Engineer,1998,652
Engineer,1999,506
Engineer,2000,697
Engineer,2001,828
Engineer,2002,954
Engineer,2003,1385
Engineer,2004,1125
Engineer,2005,920
Engineer,2006,1186
Engineer,2007,1858
Engineer,2008,2785
Engineer,2009,2612
Engineer,2010,2349
Engineer,2011,2951
Engineer,2012,3577
Engineer,2013,4764
Engineer,2014,6668
Engineer,2015,7322
Engineer,2016,5453
Engineer,2017,4021
Engineer,2018,4676
Engineer,2019,6073
Engineer,2020,1996
Engineer,2021,2640
Engineer,2022,6093
Engineer,2023,2140
Fitter,1981,1284
Fitter,1982,1153
Fitter,1983,1007
Fitter,1984,784
Fitter,1985,690
Fitter,1986,486
Fitter,1987,555
Fitter,1988,684
Fitter,1989,804
Fitter,1990,954
Fitter,1991,1198
Fitter,1992,1606
Fitter,1993,1296
Fitter,1994,930
Fitter,1995,982
Fitter,1996,1003
Fitter,1997,1250
Fitter,1998,845
Fitter,1999,655
Fitter,2000,904
Fitter,2001,1073
Fitter,2002,1236
Fitter,2003,1795
Fitter,2004,1458
Fitter,2005,1192
Fitter,2006,1536
Fitter,2007,2407
Fitter,2008,3609
Fitter,2009,3384
Fitter,2010,3043
Fitter,2011,5736
Fitter,2012,8134
Fitter,2013,11358
Fitter,2014,13294
Fitter,2015,16529
Fitter,2016,18783
Fitter,2017,11439
Fitter,2018,7460
Fitter,2019,9136
Fitter,2020,2403
Fitter,2021,3526
Fitter,2022,6924
Fitter,2023,1290
For/Supervisor,1981,1482
For/Supervisor,1982,1332
For/Supervisor,1983,1162
For/Supervisor,1984,907
For/Supervisor,1985,798
For/Supervisor,1986,562
For/Supervisor,1987,642
For/Supervisor,1988,790
For/Supervisor,1989,928
For/Supervisor,1990,1102
For/Supervisor,1991,1383
For/Supervisor,1992,1854
For/Supervisor,1993,1496
For/Supervisor,1994,1074
For/Supervisor,1995,1133
For/Supervisor,1996,1158
For/Supervisor,1997,1443
For/Supervisor,1998,975
For/Supervisor,1999,756
For/Supervisor,2000,1043
For/Supervisor,2001,1239
For/Supervisor,2002,1427
For/Supervisor,2003,2073
For/Supervisor,2004,1683
For/Supervisor,2005,1376
For/Supervisor,2006,1774
For/Supervisor,2007,2779
For/Supervisor,2008,4167
For/Supervisor,2009,3907
For/Supervisor,2010,3514
For/Supervisor,2011,4277
For/Supervisor,2012,5535
For/Supervisor,2013,6077
For/Supervisor,2014,5409
For/Supervisor,2015,8680
For/Supervisor,2016,11095
For/Supervisor,2017,9660
For/Supervisor,2018,5994
For/Supervisor,2019,7736
For/Supervisor,2020,2553
For/Supervisor,2021,4336
For/Supervisor,2022,14196
For/Supervisor,2023,5738
Goldsmith,1981,148
Goldsmith,1982,133
Goldsmith,1983,116
Goldsmith,1984,91
Goldsmith,1985,80
Goldsmith,1986,56
Goldsmith,1987,64
Goldsmith,1988,79
Goldsmith,1989,93
Goldsmith,1990,110
Goldsmith,1991,139
Goldsmith,1992,186
Goldsmith,1993,150
Goldsmith,1994,108
Goldsmith,1995,114
Goldsmith,1996,116
Goldsmith,1997,145
Goldsmith,1998,98
Goldsmith,1999,76
Goldsmith,2000,104
Goldsmith,2001,124
Goldsmith,2002,143
Goldsmith,2003,208
Goldsmith,2004,169
Goldsmith,2005,138
Goldsmith,2006,178
Goldsmith,2007,278
Goldsmith,2008,417
Goldsmith,2009,391
Goldsmith,2010,352
Goldsmith,2011,94
Goldsmith,2012,429
Goldsmith,2013,230
Goldsmith,2014,286
Goldsmith,2015,657
Goldsmith,2016,1029
Goldsmith,2017,1270
Goldsmith,2018,1026
Goldsmith,2019,1002
Goldsmith,2020,36
Goldsmith,2021,66
Goldsmith,2022,187
Goldsmith,2023,29
Labourer,1981,59848
Labourer,1982,53770
Labourer,1983,46927
Labourer,1984,36570
Labourer,1985,32189
Labourer,1986,22676
Labourer,1987,25876
Labourer,1988,31881
Labourer,1989,37478
Labourer,1990,44484
Labourer,1991,55836
Labourer,1992,74871
Labourer,1993,60414
Labourer,1994,43371
Labourer,1995,45760
Labourer,1996,46770
Labourer,1997,58264
Labourer,1998,39372
Labourer,1999,30530
Labourer,2000,42119
Labourer,2001,50015
Labourer,2002,57636
Labourer,2003,83680
Labourer,2004,67958
Labourer,2005,55569
Labourer,2006,71620
Labourer,2007,112218
Labourer,2008,168235
Labourer,2009,157762
Labourer,2010,141880
Labourer,2011,190854
Labourer,2012,242202
Labourer,2013,222422
Labourer,2014,301425
Labourer,2015,341314
Labourer,2016,296661
Labourer,2017,183382
Labourer,2018,150274
Labourer,2019,243328
Labourer,2020,94971
Labourer,2021,113851
Labourer,2022,357995
Labourer,2023,83205
Manager,1981,666
Manager,1982,599
Manager,1983,522
Manager,1984,408
Manager,1985,358
Manager,1986,252
Manager,1987,288
Manager,1988,355
Manager,1989,417
Manager,1990,495
Manager,1991,622
Manager,1992,833
Manager,1993,672
Manager,1994,483
Manager,1995,509
Manager,1996,521
Manager,1997,649
Manager,1998,438
Manager,1999,340
Manager,2000,469
Manager,2001,557
Manager,2002,642
Manager,2003,931
Manager,2004,756
Manager,2005,619
Manager,2006,797
Manager,2007,1249
Manager,2008,1873
Manager,2009,1756
Manager,2010,1579
Manager,2011,2272
Manager,2012,2797
Manager,2013,3849
Manager,2014,4990
Manager,2015,6459
Manager,2016,6698
Manager,2017,7739
Manager,2018,7382
Manager,2019,8653
Manager,2020,3043
Manager,2021,4283
