Origin Country,Origin Country Latitude,Origin Country Longitude,Destination Region,Destination Country,Dest. Country Latitude,Dest. Country Longitude,Year,No. of Emigrants
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1986,11
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1987,12
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1988,15
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1989,18
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1990,21
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1991,27
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1992,36
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1993,29
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1994,21
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1995,22
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1996,22
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1997,28
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1998,19
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1999,15
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2000,20
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2001,24
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2002,27
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2003,40
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2004,32
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2005,26
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2006,34
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2007,54
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2008,80
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2009,75
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2010,68
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2011,79
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2012,74
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2013,67
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2014,48
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2015,85
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2016,85
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2017,212
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2018,225
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2019,187
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2020,32
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2021,7
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2022,202
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,2023,51
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1981,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1982,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1983,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1984,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1985,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1986,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1987,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1988,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1989,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1990,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1991,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1992,2
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1993,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1994,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1995,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1996,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1997,1
